timept, category, freeze, utime, stime, cutime, cstime, min_flt, maj_flt, cmin_flt, cmaj_flt, vsz, rss, gen0, gen1, gen2, perm
0, reduction, False, 0, 0, 0, 0, 665, 0, 0, 0, 233938944, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1063, 0, 0, 0, 233938944, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2012, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2372, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 645, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1046, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2382, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 634, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1029, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2012, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2370, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5621, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2026, 0, 0, 0, 233857024, 5217, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1062, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2384, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1052, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 652, 0, 0, 0, 233857024, 5232, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1055, 0, 0, 0, 233857024, 5600, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2024, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2387, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1053, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2024, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2390, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5234, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1058, 0, 0, 0, 233857024, 5618, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5221, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5589, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5232, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1065, 0, 0, 0, 233857024, 5600, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1044, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2027, 0, 0, 0, 233857024, 5218, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5602, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5233, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1054, 0, 0, 0, 233857024, 5601, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2379, 0, 0, 0, 233857024, 5623, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 638, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1034, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2025, 0, 0, 0, 233857024, 5206, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2386, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 649, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1043, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5233, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1061, 0, 0, 0, 233857024, 5601, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5234, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5602, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 648, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1048, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2017, 0, 0, 0, 233857024, 5221, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2374, 0, 0, 0, 233857024, 5589, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 653, 0, 0, 0, 233857024, 5232, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1056, 0, 0, 0, 233857024, 5632, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2379, 0, 0, 0, 233857024, 5622, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5234, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1056, 0, 0, 0, 233857024, 5634, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1056, 0, 0, 0, 233857024, 5621, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 637, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1042, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2383, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 641, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1036, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2384, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 647, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1043, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 641, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1040, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2026, 0, 0, 0, 233857024, 5218, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5602, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 650, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1048, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2019, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2379, 0, 0, 0, 233857024, 5606, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 643, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1036, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2025, 0, 0, 0, 233857024, 5206, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2382, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 652, 0, 0, 0, 233857024, 5220, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1053, 0, 0, 0, 233857024, 5588, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2378, 0, 0, 0, 233857024, 5607, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 654, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1054, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2015, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2379, 0, 0, 0, 233857024, 5606, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 649, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1048, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2387, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 658, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1056, 0, 0, 0, 233857024, 5623, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2010, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2371, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 657, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1058, 0, 0, 0, 233857024, 5606, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5231, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5599, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 655, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1055, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2383, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 654, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1059, 0, 0, 0, 233857024, 5607, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2392, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 658, 0, 0, 0, 233857024, 5216, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5632, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2012, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2369, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 642, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1036, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2022, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2381, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5232, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5632, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2385, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 637, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1029, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2010, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2372, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 655, 0, 0, 0, 233857024, 5233, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1052, 0, 0, 0, 233857024, 5601, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5601, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 653, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1060, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5221, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2384, 0, 0, 0, 233857024, 5589, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 654, 0, 0, 0, 233857024, 5231, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1054, 0, 0, 0, 233857024, 5599, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5232, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2388, 0, 0, 0, 233857024, 5600, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 642, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1036, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2010, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2370, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 641, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1033, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5232, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2382, 0, 0, 0, 233857024, 5600, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 648, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1040, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2389, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 654, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5623, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2383, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 651, 0, 0, 0, 233857024, 5222, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1054, 0, 0, 0, 233857024, 5590, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2386, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5233, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1053, 0, 0, 0, 233857024, 5601, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2380, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 656, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1059, 0, 0, 0, 233857024, 5607, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2020, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2387, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 654, 0, 0, 0, 233857024, 5221, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1053, 0, 0, 0, 233857024, 5589, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2009, 0, 0, 0, 233857024, 5222, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2371, 0, 0, 0, 233857024, 5590, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 640, 0, 0, 0, 233857024, 5223, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1031, 0, 0, 0, 233857024, 5591, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2018, 0, 0, 0, 233857024, 5223, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2381, 0, 0, 0, 233857024, 5591, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 659, 0, 0, 0, 233857024, 5218, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1059, 0, 0, 0, 233857024, 5618, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2021, 0, 0, 0, 233857024, 5234, 7, 0, 0, 21755
1, reduction, True, 0, 0, 0, 0, 2381, 0, 0, 0, 233857024, 5602, 9, 0, 0, 21755
0, reduction, False, 0, 0, 0, 0, 653, 0, 0, 0, 233857024, 5233, 674, 7, 7, 375
1, reduction, False, 0, 0, 0, 0, 1057, 0, 0, 0, 233857024, 5633, 676, 7, 7, 375
0, reduction, True, 0, 0, 0, 0, 2023, 0, 0, 0, 233857024, 5233, 7, 0, 0, 21755
